Gene Set	ES	NES	P-value	FDR	GEO	GMT
hsa04932_Non-alcoholic_fatty_liver_disease	0.151581399	1.811567602	0.035714286	0.155285674	GSE51981	KEGG
hsa04666_Fc_gamma_R-mediated_phagocytosis	0.166413602	1.762965519	0	0.158650056	GSE51981	KEGG
hsa05132_Salmonella_infection	0.121396728	1.793781354	0.0625	0.160678829	GSE51981	KEGG
hsa05206_MicroRNAs_in_cancer	0.112495202	1.75464503	0	0.161396145	GSE51981	KEGG
hsa04910_Insulin_signaling_pathway	0.148618548	1.765593434	0.035714286	0.16158802	GSE51981	KEGG
hsa05414_Dilated_cardiomyopathy	0.187822926	1.787936048	0	0.16452952	GSE51981	KEGG
hsa04211_Longevity_regulating_pathway	0.174843431	1.766616557	0	0.16463685	GSE51981	KEGG
hsa04728_Dopaminergic_synapse	0.142995895	1.778110702	0	0.164798799	GSE51981	KEGG
hsa05032_Morphine_addiction	0.221095262	1.737240373	0.075	0.168528082	GSE51981	KEGG
hsa04150_mTOR_signaling_pathway	0.13219584	1.731249237	0.045454545	0.169075886	GSE51981	KEGG
hsa05152_Tuberculosis	0.13224797	1.722161108	0.043478261	0.170721256	GSE51981	KEGG
hsa04915_Estrogen_signaling_pathway	0.159572307	1.738777841	0	0.171484715	GSE51981	KEGG
hsa00563_Glycosylphosphatidylinositol_(GPI)-anchor_biosynthesis	0.362808325	1.711274719	0.022727273	0.175971122	GSE51981	KEGG
hsa04714_Thermogenesis	0.126900733	1.696008322	0.043478261	0.178177802	GSE51981	KEGG
hsa04350_TGF-beta_signaling_pathway	0.160336773	1.698588329	0.029411765	0.181051638	GSE51981	KEGG
hsa00190_Oxidative_phosphorylation	0.182733606	1.671076821	0.025641026	0.196664192	GSE51981	KEGG
hsa05145_Toxoplasmosis	0.151049493	1.665401523	0.034482759	0.197415228	GSE51981	KEGG
hsa04070_Phosphatidylinositol_signaling_system	0.163348227	1.661368017	0.03125	0.205920469	GSE51981	KEGG
hsa04931_Insulin_resistance	0.152616026	1.654551539	0.033333333	0.208842508	GSE51981	KEGG
hsa05142_Chagas_disease	0.155221859	1.64440155	0.029411765	0.212006788	GSE51981	KEGG
hsa04722_Neurotrophin_signaling_pathway	0.135573471	1.642510263	0.037037037	0.212168502	GSE51981	KEGG
hsa00564_Glycerophospholipid_metabolism	0.170757779	1.625488411	0.026315789	0.217662341	GSE51981	KEGG
hsa05235_PD-L1_expression_and_PD-1_checkpoint_pathway_in_cancer	0.150888714	1.632885364	0.033333333	0.218064125	GSE51981	KEGG
hsa04010_MAPK_signaling_pathway	0.114061688	1.627471036	0	0.218515769	GSE51981	KEGG
hsa04066_HIF-1_signaling_pathway	0.153663012	1.627887316	0.029411765	0.221593456	GSE51981	KEGG
hsa04110_Cell_cycle	0.107920806	1.613955217	0.047619048	0.223768189	GSE51981	KEGG
hsa04962_Vasopressin-regulated_water_reabsorption	0.242066662	1.591572711	0.090909091	0.226101422	GSE51981	KEGG
hsa00512_Mucin_type_O-glycan_biosynthesis	0.260450647	1.591724212	0.085106383	0.229116108	GSE51981	KEGG
hsa04914_Progesterone-mediated_oocyte_maturation	0.145924106	1.582002624	0.033333333	0.237076627	GSE51981	KEGG
hsa00350_Tyrosine_metabolism	0.431387025	1.578919508	0.068181818	0.242906563	GSE51981	KEGG
hsa05415_Diabetic_cardiomyopathy	0.128206201	1.553253741	0.037037037	0.242916429	GSE51981	KEGG
hsa04933_AGE-RAGE_signaling_pathway_in_diabetic_complications	0.155968137	1.575900738	0.028571429	0.244069107	GSE51981	KEGG
hsa00340_Histidine_metabolism	0.429417904	1.571712329	0.068181818	0.24493052	GSE51981	KEGG
hsa05170_Human_immunodeficiency_virus_1_infection	0.107318919	1.555286595	0.066666667	0.244962556	GSE51981	KEGG
hsa04923_Regulation_of_lipolysis_in_adipocytes	0.219198422	1.560632492	0.076923077	0.245215872	GSE51981	KEGG
hsa05130_Pathogenic_Escherichia_coli_infection	0.119134517	1.572395449	0.095238095	0.246318413	GSE51981	KEGG
hsa00620_Pyruvate_metabolism	0.237915137	1.555595166	0.113636364	0.247844468	GSE51981	KEGG
hsa00900_Terpenoid_backbone_biosynthesis	0.274455226	1.564034039	0.166666667	0.24817028	GSE51981	KEGG
hsa05410_Hypertrophic_cardiomyopathy	0.164558451	1.565662424	0	0.248475222	GSE51981	KEGG
